Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed,latitude,longitude
25719,The white cresent Hospital,The white cresent Hospital,,Level 4,Secondary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,,87,4,91,Nandi,Chesumei,Chesumei,Chemundu/Kapng'etunyi,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25644,Health Gate Hospital,Health Gate Hospital,,Level 4,Secondary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,,70,1,71,Nairobi,Starehe,Starehe,Pangani,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25505,Sheywe Community Hospital Limited,Sheywe Community Hospital Limited,17097,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,65,0,65,Kakamega,Shinyalu,Shinyalu,Isukha South,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25539,Africa Inuka Hospital,Africa Inuka Hospital,16927,Level 4,Secondary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,60,5,65,Kisumu,Kisumu Central,Kisumu Central,Market Milimani,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25490,T.M.C,Tamani Medical Center,,Level 4,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,63,2,65,Kirinyaga,Gichugu,Kirinyaga East,Kabare,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25454,Mediforte Hospital Limited,Mediforte Hospital Limited,PVT-PJUDQIR,Level 4,Secondary care hospitals,HOSPITALS,Non-Governmental Organizations,Non-Governmental Organizations,Ministry of Health,100,6,106,Kisii,Kitutu Chache South,Kitutu Chache South,Kitutu Central,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25412,Ammusait General Hospital,Ammusait General Hospital,,Level 4,Secondary care hospitals,HOSPITALS,Non-Governmental Organizations,Non-Governmental Organizations,,40,10,50,Turkana,Turkana West,Turkana West,Kakuma,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25432,Sanitas Family Hospital Limited,Sanitas Family Hospital Limited,15924,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Ministry of Health,31,0,31,Meru,Tigania West,Tigania West,Kianjai,Operational,Yes,Yes,Yes,No,,Yes,Yes,No,,
25357,Diani Beach Hospital Main,Diani Beach Hospital Main,333,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Pharmacy & Poisons Board,40,10,50,Kwale,Msambweni,Msambweni,Gambato Bongwe,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25386,Royalstar Family Hospital,Royalstar Family Hospital,17018,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Company,Private Practice,Kenya MPDB,26,2,28,Makueni,Makueni,Makueni,Wote,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25409,Jekim Hospital Nkubu.,Jekim Hospital Nkubu,16774,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,80,10,90,Meru,South Imenti,Imenti South,Nkuene,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25364,Life Point Hospital,Life Point Hospital,16755,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,26,4,30,Kiambu,Kabete,Kabete,Gitaru,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25371,Gracepark Medical Centre,Gracepark Medical Centre,3690,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,45,8,53,Meru,North Imenti,Imenti North,Municipality,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25358,Palmcare Sinai Hospital,Palmcare Sinai Hospital,17004,Level 4,Secondary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,50,25,75,Uasin Gishu,Moiben,Moiben,Kimumu,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25246,Reliance Hospital Limited,Reliance Hospital Limited,16911,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Company,Private Practice,Kenya MPDB,50,10,60,Nairobi,Langata,Langata,South C,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25266,Josmori Hospital,Josmori Hospital,16873,Level 4,Secondary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,24,5,29,Kilifi,Rabai,Rabai,Rabai/Kisurutini,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25503,Oakwood Hospital,Oakwood Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,45,0,45,Kiambu,Kikuyu,Kikuyu,Karai,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25166,Mumias Level IV Hospital,Mumias Level IV Hospital,9651,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,100,0,100,Kakamega,Mumias West,Mumias West,Mumias Central,Operational,Yes,No,No,No,,Yes,Yes,No,,
25163,Halisi Family Hospital,Halisi Family Hospital,16840,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,25,0,25,Kajiado,Kajiado East,Kajiado East,Kaputiei North,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25155,St. Joseph RiftValley Hospital,St. Joseph RiftValley Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,,40,5,45,Nakuru,Gilgil,Gilgil,Gilgil,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25045,Mwai Kibaki Teaching and Referral Hospital,Mwai Kibaki Teaching and Referral Hospital,GK-016683,Level 4,Specialized & Tertiary Referral hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Kenya MPDB,350,50,400,Nyeri,Nyeri South,Nyeri South,Iria-ini,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24981,Glogoh Hospital Limited,Glogoh Hospital Limited,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Company,Private Practice,Kenya MPDB,75,12,87,Uasin Gishu,Kapseret,Kapseret,Langas,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24979,Kenyatta University Teaching Refferal and Research Hospital,Kenyatta University Teaching Refferal and Research Hospital,,Level 4,Comprehensive Teaching & Tertiary Referral Hospital,HOSPITALS,Public Institution - Parastatal,Ministry of Health,Ministry of Health,600,30,630,Nairobi,Roysambu,Roysambu,Kahawa,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24952,Frevane Hospital,Frevane Hospital,16079,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,50,5,55,Embu,Manyatta,Manyatta,Mbeti North,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24947,Myanga Nursing HomeAnnex,Myanga Nursing Home,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,20,0,20,Bungoma,Bumula,Bumula,Kimaeti,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24940,Fairmont Hospital,Fairmont Hospital,16385,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,20,4,24,Kisumu,Kisumu Central,Kisumu Central,Railways,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24929,Mediheal Hospital (Nakuru) Annex,Mediheal Hospital (Nakuru) Annex,PVT-RXUKKVE,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,30,4,34,Nakuru,Nakuru Town East,Nakuru West,London,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24828,RFH Specialist Hospital,RFH Specialist Hospital,16476,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,100,10,110,Nairobi,Kasarani,Kasarani,Ruai,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
